GM1,GM2,GM3,GM4,GM7,GM8,GM9,GM10,GM11
-1.73E-06,-6.04E-02,-1.85E-04,4.54E-05,-4.32E-05,5.29E-04,4.58E-02,1.99E-02,-1.51E-04
-1.75E-06,-6.95E-02,-1.90E-04,4.49E-05,5.42E-03,2.97E-04,5.43E-02,1.07E-01,-1.41E-04
-1.78E-06,-7.14E-02,-1.83E-04,4.47E-05,5.15E-04,5.39E-05,7.28E-02,2.76E-02,-9.61E-05
-1.82E-06,-6.62E-02,-1.72E-04,3.98E-05,-2.22E-03,-2.03E-04,1.09E-01,-5.98E-02,-2.61E-05
-1.89E-06,-5.45E-02,-1.65E-04,3.74E-05,-2.36E-03,-4.19E-04,1.21E-01,-4.82E-02,5.34E-05
-1.98E-06,-3.73E-02,-1.52E-04,3.90E-05,5.41E-04,-5.03E-04,7.99E-02,-7.55E-02,1.24E-04
-2.07E-06,-1.62E-02,-1.25E-04,3.76E-05,4.79E-03,-4.25E-04,1.58E-03,7.25E-02,1.78E-04
-2.13E-06,7.27E-03,-9.15E-05,2.98E-05,3.76E-03,-2.35E-04,-6.58E-02,1.77E-02,2.25E-04
-2.17E-06,3.14E-02,-6.06E-05,3.43E-05,-1.61E-03,-1.69E-06,-7.68E-02,6.98E-02,2.78E-04
-2.14E-06,5.45E-02,-3.84E-05,5.39E-05,-9.01E-03,2.43E-04,-6.70E-02,3.68E-03,3.41E-04
-2.07E-06,7.52E-02,-2.42E-05,6.57E-05,-5.50E-03,5.22E-04,-6.27E-02,-5.65E-03,3.99E-04
-1.98E-06,9.21E-02,-1.97E-05,6.43E-05,3.13E-04,8.83E-04,-4.31E-02,-4.65E-02,4.31E-04
-1.87E-06,1.04E-01,-3.21E-05,5.79E-05,2.25E-03,1.31E-03,-2.73E-02,-7.66E-02,4.42E-04
-1.76E-06,1.11E-01,-6.08E-05,5.04E-05,2.87E-04,1.67E-03,-3.50E-02,4.76E-02,4.41E-04
-1.67E-06,1.12E-01,-9.65E-05,5.44E-05,-8.74E-04,1.80E-03,-4.63E-02,2.50E-02,4.53E-04
-1.60E-06,1.07E-01,-1.27E-04,6.41E-05,3.19E-03,1.78E-03,-5.00E-02,2.05E-02,5.10E-04
-1.54E-06,9.65E-02,-1.40E-04,6.39E-05,5.35E-03,1.72E-03,-4.27E-02,1.48E-02,6.04E-04
-1.47E-06,8.15E-02,-1.30E-04,4.96E-05,1.24E-05,1.61E-03,-1.83E-02,-3.20E-02,7.07E-04
-1.36E-06,6.30E-02,-1.04E-04,4.24E-05,-3.05E-03,1.37E-03,2.34E-02,-5.42E-02,7.91E-04
-1.23E-06,4.26E-02,-7.06E-05,5.26E-05,-1.96E-03,1.00E-03,7.02E-02,8.87E-02,8.52E-04
-1.13E-06,2.17E-02,-3.13E-05,5.37E-05,-3.22E-03,4.76E-04,8.53E-02,1.46E-02,9.09E-04
-1.07E-06,2.18E-03,4.57E-06,4.73E-05,-4.03E-03,-1.57E-04,7.12E-02,-6.10E-02,9.81E-04
-1.09E-06,-1.44E-02,2.34E-05,5.62E-05,4.30E-04,-7.48E-04,5.56E-02,-7.16E-02,1.07E-03
-1.20E-06,-2.70E-02,1.96E-05,6.63E-05,5.66E-03,-1.20E-03,3.28E-02,-7.65E-02,1.17E-03
-1.36E-06,-3.46E-02,-2.25E-06,5.54E-05,5.60E-03,-1.52E-03,6.14E-03,1.35E-02,1.25E-03
-1.50E-06,-3.71E-02,-3.00E-05,4.46E-05,3.48E-03,-1.76E-03,-1.67E-02,3.18E-02,1.30E-03
-1.60E-06,-3.46E-02,-4.47E-05,5.72E-05,2.86E-03,-1.93E-03,-3.88E-02,-2.74E-02,1.27E-03
-1.69E-06,-2.77E-02,-3.42E-05,6.97E-05,4.07E-03,-2.01E-03,-5.97E-02,1.89E-02,1.16E-03
-1.78E-06,-1.75E-02,-3.21E-06,5.70E-05,3.49E-03,-1.93E-03,-8.06E-02,1.65E-02,9.66E-04
-1.84E-06,-5.14E-03,4.11E-05,4.51E-05,3.42E-03,-1.69E-03,-9.32E-02,4.38E-02,7.14E-04
-1.82E-06,7.90E-03,8.27E-05,5.49E-05,3.46E-03,-1.48E-03,-8.22E-02,1.10E-01,4.40E-04
-1.75E-06,2.01E-02,1.10E-04,5.75E-05,-2.99E-03,-1.39E-03,-5.18E-02,-3.49E-03,1.81E-04
-1.73E-06,3.03E-02,1.18E-04,4.70E-05,-9.95E-03,-1.26E-03,-1.32E-02,8.22E-02,-5.25E-05
-1.73E-06,3.72E-02,9.71E-05,4.56E-05,-1.41E-03,-9.70E-04,4.15E-02,1.13E-01,-2.76E-04
-1.74E-06,4.01E-02,4.79E-05,6.36E-05,5.44E-03,-6.21E-04,1.05E-01,5.88E-02,-4.84E-04
-1.79E-06,3.84E-02,-1.60E-05,7.41E-05,7.80E-03,-4.14E-04,1.36E-01,4.90E-02,-6.67E-04
-1.88E-06,3.18E-02,-7.08E-05,6.28E-05,1.00E-03,-3.84E-04,1.17E-01,7.24E-02,-8.01E-04
-1.95E-06,2.04E-02,-8.67E-05,6.15E-05,-5.33E-03,-4.09E-04,8.02E-02,-2.06E-02,-8.43E-04
-1.95E-06,5.11E-03,-4.44E-05,7.06E-05,-9.55E-03,-3.83E-04,5.21E-02,-2.38E-02,-7.54E-04
-1.94E-06,-1.32E-02,4.12E-05,5.61E-05,-3.78E-03,-2.31E-04,2.87E-02,-2.03E-02,-5.29E-04
-2.03E-06,-3.32E-02,1.30E-04,3.32E-05,3.59E-03,1.69E-04,3.44E-03,-9.25E-03,-1.78E-04
-2.16E-06,-5.27E-02,1.96E-04,4.57E-05,1.30E-03,7.70E-04,-2.13E-02,2.98E-02,2.94E-04
-2.24E-06,-7.00E-02,2.26E-04,6.07E-05,-2.98E-03,1.23E-03,-4.70E-02,-3.71E-03,8.36E-04
-2.27E-06,-8.33E-02,2.16E-04,5.29E-05,-1.67E-03,1.37E-03,-6.31E-02,1.11E-01,1.37E-03
-2.30E-06,-9.12E-02,1.73E-04,4.85E-05,4.08E-03,1.40E-03,-5.94E-02,7.77E-02,1.85E-03
-2.34E-06,-9.31E-02,1.14E-04,6.64E-05,1.94E-03,1.58E-03,-5.39E-02,1.63E-01,2.27E-03
-2.45E-06,-8.87E-02,6.36E-05,8.39E-05,-1.77E-03,1.93E-03,-5.09E-02,2.07E-01,2.60E-03
-2.61E-06,-7.86E-02,3.53E-05,8.43E-05,-4.74E-03,2.27E-03,-3.83E-02,2.11E-01,2.87E-03
-2.78E-06,-6.35E-02,3.60E-05,7.94E-05,1.00E-03,2.44E-03,-2.75E-02,1.06E-01,3.09E-03
-2.89E-06,-4.45E-02,5.66E-05,7.91E-05,5.89E-03,2.49E-03,-2.11E-02,2.11E-02,3.25E-03
-2.83E-06,-2.29E-02,7.47E-05,8.16E-05,7.47E-03,2.43E-03,1.25E-03,-1.00E-02,3.31E-03
-2.64E-06,-5.44E-05,6.29E-05,8.20E-05,2.36E-03,2.25E-03,3.28E-02,-6.59E-02,3.25E-03
